String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI
"Bokn, T.; Lein, T. E. (1978). Long-term changes in fucoid association of the inner Oslofjord, Norway. <em>Norwegian Journal of Botany.</em> 25: 9-14.","Bokn, T.; Lein, T. E.",1978,"Long-term changes in fucoid association of the inner Oslofjord, Norway",,Norwegian Journal of Botany,,,25,,9-14,
"Pérès, J.-M. (1958). Ascidies récoltées sur les côtes méditerranéennes d'Israël. <em>The Bulletin of the Research Council of Israel.</em> 7: 143-150.","Pérès, J.-M.",1958,Ascidies récoltées sur les côtes méditerranéennes d'Israël,,The Bulletin of the Research Council of Israel,,,7,,143-150,
"Turk, T. (2000). The opistobranch mollusks (Cephalaspidea, Saccoglossa, Notaspidea, Anaspidea and Nudibranchia) of the Adriatic Sea with special reference to the Slovenian coast. <em>Annales Series Historia Naturalis.</em> 21: 161-172.","Turk, T.",2000,"The opistobranch mollusks (Cephalaspidea, Saccoglossa, Notaspidea, Anaspidea and Nudibranchia) of the Adriatic Sea with special reference to the Slovenian coast",,Annales Series Historia Naturalis,,,21,,161-172,
"De Smet, W.H.O. (1994). Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea. <em>Belgian Journal of Zoology.</em> 124(1): 21-25.","De Smet, W.H.O.",1994,"Proales christinae (Rotifera, Proalidae): a new species from the littoral of the North Sea",,Belgian Journal of Zoology.,,,124,1,21-25,
"d'Hondt, J. L. (1971). Note sur quelques gastrotriches Chaetonotidae. <em>Bulletin de La Société zoologique de France.</em> 96(2): 215-235; 1971.","d'Hondt, J. L.",1971,Note sur quelques gastrotriches Chaetonotidae.,,Bulletin de La Société zoologique de France,,,96,2,215-235,
"(2010). Status of species and habitats. Indicators for the Scheldt estuary. <em>Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission. VLIZ Information Sheets, 226. Flanders Marine Institute (VLIZ): Oostende.</em> 14 pp.",,2010,"Status of species and habitats. Indicators for the Scheldt estuary. Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission.",, VLIZ Information Sheets,Flanders Marine Institute (VLIZ),Oostende,226,,14,
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2007). Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity. <em>Marine Biology.</em> 151(5): 1799-1812.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2007,"Spatiotemporal analysis of population genetic structure in Geomonhystera disjuncta (Nematoda, Monhysteridae) reveals high levels of molecular diversity",,Marine Biology,,,151,5,1799-1812,10.1007/s00227-007-0609-0
"Mifsud, C.; Ovalis, P. (2003). A note on new discoveries and the distribution of a few Mollusca from the Eastern Mediterranean. <em>La Conchiglia.</em> 306: 20-25.","Mifsud, C.; Ovalis, P.",2003,A note on new discoveries and the distribution of a few Mollusca from the Eastern Mediterranean,,La Conchiglia,,,306,,20-25,
"Van Soest, R.W.M.; Desqueyroux-Faúndez, R.; Wright, A.D.; König, G.M. (1996). <i>Cymbastela hooperi</i> sp. nov. (Halichondrida: Axinellidae) from the Great Barrier Reef, Australia. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique. Biologie.</em> 66 (supplement): 103-108.","Van Soest, R.W.M.; Desqueyroux-Faúndez, R.; Wright, A.D.; König, G.M.",1996,"<i>Cymbastela hooperi</i> sp. nov. (Halichondrida: Axinellidae) from the Great Barrier Reef, Australia. <i>In</i>: Willenz, P. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation.",,Bulletin de l’Institut royal des Sciences naturelles de Belgique. Biologie,,,66,supplement,103-108,
"Marcus, Er. (1954). Turbellaria. Reports of the Lund University Expedition 1948-49. <em>Kungl Fysiograf Saellsk Handl NF.</em> 64(13): 115.","Marcus, Er.",1954,Turbellaria. Reports of the Lund University Expedition 1948-49.,,Kungl Fysiograf Saellsk Handl NF,,,64,13,115,
"Elofson, O. (1941). Zur Kenntnis der marinen Ostracoden Schwedens mit besonderer Beruecksichtigung des Skagerraks. <em>Zoologiska Bildrag från Uppsala.</em> 19: 215-534.","Elofson, O.",1941,Zur Kenntnis der marinen Ostracoden Schwedens mit besonderer Beruecksichtigung des Skagerraks,,Zoologiska Bildrag från Uppsala,,,19,,215-534,
"Wieser, W. (1955). A collection of marine nematodes from Japan. <em>Publ. Seto Mar. Biol. Lab.</em> IV (2-3): 159-181.","Wieser, W.",1955,A collection of marine nematodes from Japan,,Publ. Seto Mar. Biol. Lab.,,,IV,2-3,159-181,
"Gourbault, N.; Vincx, M. (1990). Chromadorida (Nematoda) from Guadeloupe and Polynesia with evidence of intersexuality. <em>Zoologica Scripta.</em> 19(1): 31-37.","Gourbault, N.; Vincx, M.",1990,Chromadorida (Nematoda) from Guadeloupe and Polynesia with evidence of intersexuality,,Zoologica Scripta,,,19,1,31-37,10.1111/j.1463-6409.1990.tb00238.x
"Vincx, M.; Gourbault, N. (1988). Two new species of Morlaixia gen. n. (Nematoda, Diplopeltidae) with a subterminal ventral mouth. <em>Bull. Mus. natn. Hist. nat., Paris.</em> 4e sér., 10 (sect. A, nr 4):711-718.","Vincx, M.; Gourbault, N.",1988,"Two new species of Morlaixia gen. n. (Nematoda, Diplopeltidae) with a subterminal ventral mouth.",,"Bull. Mus. natn. Hist. nat., Paris",,,"4e sér., 10","sect. A, nr 4",711-718,
"Vacelet, J.; Boury-Esnault, N. (1995). Carnivorous sponges. <em>Nature (Lond.).</em> 373(6512): 333-335.","Vacelet, J.; Boury-Esnault, N.",1995,Carnivorous sponges,,Nature (Lond.),,,373,6512,333-335,
"Leloup, E. (1952). Contributions à l'étude de la faune belge: 19. Observations sur la crevette grise au large de la côte belge en 1949. [Contribution to the study on the Belgian fauna: 19. Observations on the brown shrimp along the Belgian coast in 1949]. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique.</em> 28 (1): 1-28.","Leloup, E.",1952,Contributions à l'étude de la faune belge: 19. Observations sur la crevette grise au large de la côte belge en 1949. [Contribution to the study on the Belgian fauna: 19. Observations on the brown shrimp along the Belgian coast in 1949],,Bulletin de l'Institut royal des Sciences naturelles de Belgique,,,28,1,1-28,
"Huys, R., S. Ohtsuka, S. Conroy-Dalton & Y. Kikuchi. (2005). Description of two new species of Neotachidius Shen & Tai, 1963 (Copepoda, Harpacticoida, Tachidiidae) from Korean brackish waters and proposal of a new genus for Tachidius (Tachidius) vicinospinalis Shen & Tai, 1964. <em>Zoological Journal of the Linnean Society.</em> 143(1): 133-159.","Huys, R., S. Ohtsuka, S. Conroy-Dalton & Y. Kikuchi",2005,"Description of two new species of Neotachidius Shen & Tai, 1963 (Copepoda, Harpacticoida, Tachidiidae) from Korean brackish waters and proposal of a new genus for Tachidius (Tachidius) vicinospinalis Shen & Tai, 1964",,Zoological Journal of the Linnean Society,,,143,1,133-159,10.1111/j.1096-3642.2004.00148.x
"Nordmann, A. von. (1832). Mikrographische Beiträge zur Naturgeschichte der wirbellosen Thiere. <em>Zweites Heft. Mit zehn Kupfertafeln, G. Reimer,  Berlin.</em> XVIII:1-150, plates I-X.","Nordmann, A. von",1832,Mikrographische Beiträge zur Naturgeschichte der wirbellosen Thiere.,,"Zweites Heft. Mit zehn Kupfertafeln, G. Reimer,  Berlin.",,,XVIII,,"150, plates I-X",
"Bon, M. (1980). Agaricales rares ou nouvelles de la Zone Maritime Picarde. <em>Bulletin de la Société Mycologique de France.</em> 96: 155-174.","Bon, M.",1980,Agaricales rares ou nouvelles de la Zone Maritime Picarde.,,Bulletin de la Société Mycologique de France,,,96,,155-174,
"Huys, R., G.A. Boxshall & R. Böttger-Schnack. (1992). On the discovery of the male of Mormonilla Giesbrecht, 1891 (Copepoda): Mormonilloida). Bulletin of the British Museum (Natural History), Zoology 58(2):157-170.","Huys, R., G.A. Boxshall & R. Böttger-Schnack",1992,"On the discovery of the male of Mormonilla Giesbrecht, 1891 (Copepoda): Mormonilloida).",,"Bulletin of the British Museum (Natural History), Zoology",,,58,2,157-170,
"Angel, M. V. (1993). Marine planktonic ostracods: keys and notes for identification of the species. <em>Synopses of the British fauna (new series), 48. Field Studies Council: Shrewsbury, UK. ISBN 1-85153-250-1.</em> vii, 416 pp.","Angel, M. V.",1993,Marine planktonic ostracods: keys and notes for identification of the species,,"Synopses of the British fauna (new series), 48. Field Studies Council: Shrewsbury, UK. ISBN 1-85153-250-1",,,,,"VII, 416",
"Vacelet, J.; Pérez, T. (1998). Two new genera and species of sponges (Porifera, Demospongiae) without skeleton from a Mediterranean cave. <em>Zoosystema.</em> 20 (1): 5-22.","Vacelet, J.; Pérez, T.",1998,"Two new genera and species of sponges (Porifera, Demospongiae) without skeleton from a Mediterranean cave.",,Zoosystema,,,20,1,5-22,
"Galassi, D.M.P., R. Huys & J.W. Reid. (2009). Diversity, ecology and evolution of groundwater copepods. <em>Freshwater Biology.</em> 54(4): 691-708.","Galassi, D.M.P., R. Huys & J.W. Reid",2009,"Diversity, ecology and evolution of groundwater copepods.",,Freshwater Biology,,,54,4,691-708,10.1111/j.1365-2427.2009.02185.x
"Messiaen, M.; Lock, K.; Gabriels, W.; Vercauteren, Th.; Wouters, K.; Boets, P.; Goethals, P.L.M. (2010). Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium). <em>Belg. J. Zool.</em> 140(1): 30-39.","Messiaen, M.; Lock, K.; Gabriels, W.; Vercauteren, Th.; Wouters, K.; Boets, P.; Goethals, P.L.M.",2010,Alien macrocrustaceans in freshwater ecosystems in the eastern part of Flanders (Belgium).,,Belg. J. Zool.,,,140,1,30-39,
"Verhoeff, K. W. (1943). Über Land-Isopoden aus der Türkei. 2. Aufsatz. (78. Isopoden-Aufsatz). Istanbul Üniversitesi fen Fakültesi Mecmuasi, Seri B, 8: 1-29. Istanbul","Verhoeff, K. W.",1943,Über Land-Isopoden aus der Türkei. 2. Aufsatz. (78. Isopoden-Aufsatz),,"Istanbul Üniversitesi fen Fakültesi Mecmuasi, Seri B",,Istanbul,8,,1-29,
"Clark, A. H. (1911). The recent crinoids of the coasts of Africa. <em>Proceedings of the U.S. National Museum.</em> 40:1-51.","Clark, A. H.",1911,The recent crinoids of the coasts of Africa,,Proceedings of the U.S. National Museum,,,40,,1-51,
"Kaas, P. & Van Belle, R. A. (1981). The genus <i>Lepidochitona</i> Gray, 1821 in the Northeastern Atlantic Ocean, the Mediterranean sea and the Black Sea. <em>Zoologische Verhandelingen.</em> 185: 1-43.","Kaas, P. & Van Belle, R. A.",1981,"The genus <i>Lepidochitona</i> Gray, 1821 in the Northeastern Atlantic Ocean, the Mediterranean sea and the Black Sea.",,Zoologische Verhandelingen,,,185,,1-43,
"Den Hartog C. (1966). A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria). <em>Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences.</em> 69: 97-163.",Den Hartog C.,1966,"A preliminary revision of the Proxenetes group (Trigonostomidae, Turbellaria)",,Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen. Series C: Biological and Medical Sciences,,,69,,97-163,
"Beu, A. G. (2008). Recent deep-water Cassidae of the world. A revision of Galeodea, Oocorys, Sconsia, Echinophoria and related taxa, with new genera and species (Mollusca, Gastropoda). <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 196: 269-387.","Beu, A. G.",2008,"Recent deep-water Cassidae of the world. A revision of Galeodea, Oocorys, Sconsia, Echinophoria and related taxa, with new genera and species (Mollusca, Gastropoda)",Tropical Deep-Sea Benthos 25,Mémoires du Muséum national d'Histoire naturelle (1993),,,196,,269-387,
"Kaasschieter, J. (1961). Foraminifera of the Eocene of Belgium. <em>Institut Royal des Sciences Naturelles de Belgique, Mémoires.</em> 147: 1-271.","Kaasschieter, J.",1961,Foraminifera of the Eocene of Belgium,,"Institut Royal des Sciences Naturelles de Belgique, Mémoires",,,147,,1-271,
"Munilla, T.; Soler Membrives, A. (2008). Check-list of the pycnogonids from Antarctic and sub-Antarctic waters: zoogeographic implications. <em>Antarctic Science.</em> 21(02): 99.","Munilla, T.; Soler Membrives, A.",2008,Check-list of the pycnogonids from Antarctic and sub-Antarctic waters: zoogeographic implications,,Antarctic Science,,,21,2,99,10.1017/s095410200800151x
"Huys, R. (2008). Halectinosoma Vervoort, 1962 (Crustacea, Copepoda, Harpacticoida): proposed conservation of usage by designation of Ectinosoma chrystalii Scott, 1894 as the type species and by giving it precedence over Pararenosetella Lang, 1944 (Case 3470). <em>Bulletin of Zoological Nomenclature.</em> 64(4):276-281.","Huys, R.",2008,"Halectinosoma Vervoort, 1962 (Crustacea, Copepoda, Harpacticoida): proposed conservation of usage by designation of Ectinosoma chrystalii Scott, 1894 as the type species and by giving it precedence over Pararenosetella Lang, 1944 (Case 3470)",,Bulletin of Zoological Nomenclature,,,64,4,276-281,
"Stock, J. H. (1958). Pycnogonida from the Mediterranean coast of Israel. <em>The bulletin of the Research Council of Israel.</em> 7B(3-4): 137-142.","Stock, J. H.",1958,Pycnogonida from the Mediterranean coast of Israel.,,The bulletin of the Research Council of Israel,,,7B,3-4,137-142,
"Artois, T. J.; Schockaert, E. R. (2000). Interstitial fauna of the Galapagos: Typhlopolycystidinae (Platyhelminthes Polycystididae). <em>Trop. Zool.</em> 13: 141-158.","Artois, T. J.; Schockaert, E. R.",2000,Interstitial fauna of the Galapagos: Typhlopolycystidinae (Platyhelminthes Polycystididae),,Trop. Zool.,,,13,,141-158,
"Karlsson, J.; Kuylenstierna, M.; Åberg, P. (1992). Contribution to the seaweed flora of Sweden: New or otherwise interesting records from the west coast. <em>Acta Phytogeographica Suecica.</em> 78: 49-63.","Karlsson, J.; Kuylenstierna, M.; Åberg, P.",1992,Contribution to the seaweed flora of Sweden: New or otherwise interesting records from the west coast,,Acta Phytogeographica Suecica,,,78,,49-63,
"Ben-Tuvia, A. (1983). An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean. <em>Israel Journal of Zoology.</em> 32: 37-43.","Ben-Tuvia, A.",1983,An Indo-Pacific goby <i>Oxyurichthys papuensis</i> in the Eastern Mediterranean,,Israel Journal of Zoology,,,32,,37-43,
"Vacelet, J.; Boury-Esnault, N. (1996). A new species of carnivorous sponge (Demospongiae: Cladorhizidae) from a Mediterranean cave. <i>In</i>: Willenz, Ph. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation. <em>Bulletin de l'Institut royal des Sciences naturelles de Belgique. Biologie.</em> 66, 109-115.","Vacelet, J.; Boury-Esnault, N.",1996,"A new species of carnivorous sponge (Demospongiae: Cladorhizidae) from a Mediterranean cave. <i>In</i>: Willenz, Ph. (Ed.), Recent Advances in Sponge Biodiversity Inventory and Documentation",,Bulletin de l’Institut royal des Sciences naturelles de Belgique. Biologie,,,66,,109-115,
"Clark, A. M. (1993). An index of names of recent Asteroidea, part 2: Valvatida. <em>In: Jangoux, M.; Lawrence, J.M. (Ed.) (1996).  Echinoderm Studies.</em> 4: 187-366.","Clark, A. M.",1993,"An index of names of recent Asteroidea, part 2: Valvatida",,"In: Jangoux, M.; Lawrence, J.M. (Ed.) (1996).  Echinoderm Studies",,,4,,187-366,
"Huys, R. & R. Böttger-Schnack. (1997). On the diphyletic origin of the Oncaeidae Giesbrecht, 1892 (Copepoda: Poecilostomatoida) with a phylogenetic analysis of the Lubbockiidae fam. nov. Zoologischer Anzeiger 235:243-261. (1996/97)","Huys, R. & R. Böttger-Schnack",1997,"On the diphyletic origin of the Oncaeidae Giesbrecht, 1892 (Copepoda: Poecilostomatoida) with a phylogenetic analysis of the Lubbockiidae fam. nov.",,Zoologischer Anzeiger,,,235,,243-261. (1996/97),
"Alurralde, G.; Torre, L.; Schwindt, E.; Castilla, J. C.; Tatián, M. (2013). A re-evaluation of morphological characters of the invasive ascidian Corella eumyota reveals two different species at the tip of South America and in the South Shetland Islands, Antarctica. <em>Polar Biology.</em> 36(7): 957-968.","Alurralde, G.; Torre, L.; Schwindt, E.; Castilla, J. C.; Tatián, M.",2013,"A re-evaluation of morphological characters of the invasive ascidian Corella eumyota reveals two different species at the tip of South America and in the South Shetland Islands, Antarctica",,Polar Biology,,,36,7,957-968,10.1007/s00300-013-1319-3
"Fiers, F. (1982). New Canuellidae from the northern coast of Papua New Guinea (Copepoda: Harpacticoida). <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie or Mededelingen van het Koninklijk Natuurhistorisch Museum van België.</em> 54(4):1-32, pls. 1-17, tab. 1. (30-xi-1982, French summary).","Fiers, F.",1982,New Canuellidae from the northern coast of Papua New Guinea (Copepoda: Harpacticoida).,,"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie or Mededelingen van het Koninklijk Natuurhistorisch Museum van België.",,,54,4,"1-32, pls. 1-17, tab. 1. (30-xi-1982, French summary)",
"Gerlach, S. A. (1957). Die Nematodenfauna des Sandstrandes an der Küste von Mittelbrasilien (Brasilianische Meerse-Nematoden IV). <em>Mitt. zool. Mus. Berl.</em> 33 (2): 411-459.","Gerlach, S. A.",1957,Die Nematodenfauna des Sandstrandes an der Küste von Mittelbrasilien (Brasilianische Meerse-Nematoden IV),,Mitt. zool. Mus. Berl.,,,33,2,"411-459, 4 Tabelle",
"Manning, R. B. (1991). Crustacea Decapoda: Cecidocarcinus zibrowii, a new deep-water gall crab (Cryptochiridae) from New Caledonia. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 152: 515-520.","Manning, R. B.",1991,"Crustacea Decapoda: Cecidocarcinus zibrowii, a new deep-water gall crab (Cryptochiridae) from New Caledonia",Résultats des Campagnes MUSORSTOM 9.,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,152,,515-520,
"Beyrem, H.; Aissa, P. (2000). Les nématodes libres, organismes-sentinelles de l'évolution des concentrations d'hydrocarbures dans la baie de Bizerte (Tunisie). <em>Cah. Biol. Mar.</em> 41(3), 329-342.","Beyrem, H.; Aissa, P.",2000,"Les nématodes libres, organismes-sentinelles de l'évolution des concentrations d'hydrocarbures dans la baie de Bizerte (Tunisie)",,Cah. Biol. Mar.,,,41,3,329-342,
"Polk, P. (1962). Contribution to the knowledge on the marine fauna of the Belgian coast: 4. Control of the oyster pest Crepidula fornicata L. in the Sluice Dock at Ostend [Bijdrage tot de kennis der mariene fauna van de Belgische kust: 4. De bestrijding van de oesterplaag Crepidula fornicata L. in de Spuikom te Oostende]. <em>Biol. Jb. Dodonaea.</em> 30: 37-46.","Polk, P.",1962,Contribution to the knowledge on the marine fauna of the Belgian coast: 4. Control of the oyster pest Crepidula fornicata L. in the Sluice Dock at Ostend [Bijdrage tot de kennis der mariene fauna van de Belgische kust: 4. De bestrijding van de oesterplaag Crepidula fornicata L. in de Spuikom te Oostende],,Biol. Jb. Dodonaea,,,30,,37-46,
"Motschoulsky, V. (1858). Énumération des nouvelles espèces de Coléoptères rapportés de ses voyages. <em>Bulletin de la Société Impériale des Naturalistes de Moscou.</em> XXXI(III): 204-264.","Motschoulsky, V.",1858,Énumération des nouvelles espèces de Coléoptères rapportés de ses voyages,,Bulletin de la Société Impériale des Naturalistes de Moscou,,,XXXI,III,204-264,
"McLaughlin, P.A. (2006). Two new hermit crabs from New Caledonia and environs. In: Richer de Forges, B. & J.-L. Justine (eds.), Tropical Deep-Sea Benthos. 24. <em>Mémoires du Muséum national d'Histoire naturelle.</em> 193: 335-347.","McLaughlin, P.A.",2006,"Two new hermit crabs from New Caledonia and environs. In: Richer de Forges, B. & J.-L. Justine (eds.),",Tropical Deep-Sea Benthos 24,Mémoires du Muséum national d'Histoire naturelle,,,193,,335-347,
"Nakamura, Y.; Imai, I.; Yamaguchi, A.; Tuji, A.; Not, F.; Suzuki, N. (2015). Molecular Phylogeny of the Widely Distributed Marine Protists, Phaeodaria (Rhizaria, Cercozoa). <em>Protist.</em> 166(3): 363-373.","Nakamura, Y.; Imai, I.; Yamaguchi, A.; Tuji, A.; Not, F.; Suzuki, N.",2015,"Molecular Phylogeny of the Widely Distributed Marine Protists, Phaeodaria (Rhizaria, Cercozoa)",,Protist,,,166,3,363-373,10.1016/j.protis.2015.05.004
"Griffiths, C. L. (1975). The Amphipoda of Southern Africa. 5.The Gammaridea and Caprellidea of the Cape Province west of Cape Agulhas. <em>Annals of the South African Museum.</em> 67(5): 91-181.","Griffiths, C. L.",1975,The Amphipoda of Southern Africa. 5.The Gammaridea and Caprellidea of the Cape Province west of Cape Agulhas,,Annals of the South African Museum,,,67,5,91-181,
"Braarud, T.; Heimdal, B. (1970). Brown water on the Norwegian coast in autumn. <em>Nytt Magasin for Botanikk.</em> 17: 91-97.","Braarud, T.; Heimdal, B.",1970,Brown water on the Norwegian coast in autumn,,Nytt Magasin for Botanikk,,,17,,91-97,
"Kallstenius, E. (1892). Eine neue Art der Oligochaetengattung Amphichaeta. <em>Biologiska Foereningens förhandlingar.</em> iv, pp. 42-55, 5 figg.","Kallstenius, E.",1892,Eine neue Art der Oligochaetengattung Amphichaeta,,Biologiska Foereningens förhandlingar,,,iv,,"42-55, 5 figg.",
"Macpherson, E. (1996). Crustacea Decapoda: Species of the genera Munida Leach, 1820 and Paramunida Baba, 1988 (Galatheidae) from the seas around the Wallis and Futuna Islands. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 387-421.","Macpherson, E.",1996,"Crustacea Decapoda: Species of the genera Munida Leach, 1820 and Paramunida Baba, 1988 (Galatheidae) from the seas around the Wallis and Futuna Islands",Résultats des Campagnes MUSORSTOM 15.,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,168,,387-421,
"Gofas S., Salas C., Rueda J.L., Canoura J., Farias C. & Gil J. (2014). Mollusca from a species-rich deep-water <em>Leptometra</em> community in the Alboran Sea. <em>Scientia Marina.</em> 78(4) : 537-553.","Gofas S., Salas C., Rueda J.L., Canoura J., Farias C. & Gil J.",2014,Mollusca from a species-rich deep-water <em>Leptometra</em> community in the Alboran Sea,,Scientia Marina,,,78,4,537-553,
"Roux, M. (1994). The CALSUB cruise on the bathyal slopes off New Caledonia. <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 161: 9-47.","Roux, M.",1994,The CALSUB cruise on the bathyal slopes off New Caledonia,Résultats des Campagnes MUSORSTOM 12.,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",,,161,,9-47,
"de Weerdt, W.H.; Rützler, K.; Smith, K.P. (1991). The Chalinidae (Porifera) of Twin Cays, Belize, and adjacent waters. <em>Proceedings of the  Biological  Socety of  Washsington.</em> 104 (1): 189-205.","de Weerdt, W.H.; Rützler, K.; Smith, K.P.",1991,"The Chalinidae (Porifera) of Twin Cays, Belize, and adjacent waters",,Proceedings of the  Biological  Socety of  Washsington,,,104,1,189-205,
"Rowe, F.W.E. (1977). A new family of Asteroidea (Echinodermata) with the description of five new species and one new species of <i>Asterodiscides</i>. <em>Records of the Australian Museum.</em> 31(5): 187-233.","Rowe, F.W.E.",1977,A new family of Asteroidea (Echinodermata) with the description of five new species and one new species of <i>Asterodiscides</i>.,,Records of the Australian Museum,,,31,5,187-233,
"Conroy-Dalton, S. & R. Huys. (1998). Towards a revision of Ameira Boeck, 1865 (Harpacticoida, Ameiridae): reinstatement of Psammameira Noodt, 1952. <em>Zoologica Scripta.</em> 27(3): 247-261.","Conroy-Dalton, S. & R. Huys",1998,"Towards a revision of Ameira Boeck, 1865 (Harpacticoida, Ameiridae): reinstatement of Psammameira Noodt, 1952.",,Zoologica Scripta,,,27,3,247-261,10.1111/j.1463-6409.1998.tb00439.x
"Vanaverbeke, J.; Merckx, B.; Degraer, S.; Vincx, M. (2011). Sediment-related distribution patterns of nematodes and macrofauna: Two sides of the benthic coin?. <em>Marine Environmental Research.</em> 71(1): 31-40.","Vanaverbeke, J.; Merckx, B.; Degraer, S.; Vincx, M.",2011,Sediment-related distribution patterns of nematodes and macrofauna: Two sides of the benthic coin?,,Marine Environmental Research,,,71,1,31-40,10.1016/j.marenvres.2010.09.006
"Huxley, T.H. & Pelseneer, P. (1895). Report on the specimen of the genus Spirula collected by H.M.S. Challenger. <em>Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology.</em> Summary volume (part 83): 1-32, pl. 1-6.","Huxley, T.H. & Pelseneer, P.",1895,Report on the specimen of the genus Spirula collected by H.M.S. Challenger.,,Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology,,,Summary volume,part 83,"1-32, pl. 1-6",
"Ashton, G. V.; Willis, K. J.; Cook, E. J.; Burrows, M. (2007). Distribution of the introduced amphipod, Caprella mutica Schurin, 1935 (Amphipoda: Caprellida: Caprellidae) on the west coast of Scotland and a review of its global distribution. <em>Hydrobiologia.</em> 590(1): 31-41.","Ashton, G. V.; Willis, K. J.; Cook, E. J.; Burrows, M.",2007,"Distribution of the introduced amphipod, Caprella mutica Schurin, 1935 (Amphipoda: Caprellida: Caprellidae) on the west coast of Scotland and a review of its global distribution",,Hydrobiologia,,,590,1,31-41,10.1007/s10750-007-0754-y
"Schulze, F.E. (1876). <i>Tiarella singularis</i>, ein neuer Hydroidpolyp. <em>Zeitschrift für wissenschaftliche Zoologie.</em> 27: 403-416.","Schulze, F.E.",1876,"<i>Tiarella singularis</i>, ein neuer Hydroidpolyp.",,Zeitschrift für wissenschaftliche Zoologie,,,27,,403-416,
"Herrier, J.-L. (2007). Het beheerplan van het strandreservaat De Baai van Heist. <em>Provinciaal Ankerpunt Kust: Oostende, Belgium.</em> 5 pp.","Herrier, J.-L.",2007,Het beheerplan van het strandreservaat De Baai van Heist,,"Provinciaal Ankerpunt Kust: Oostende, Belgium",,,,,5,
"Neira, C.; Decraemer, W.; Backeljau, T. (2005). A new species of Glochinema (Epsilonematidae: Nematoda) from the oxygen minimum zone of Baja California, NE pacific and phylogenetic relationships at species level within the family. <em>Cah. Biol. Mar.</em> 46: 105-126.","Neira, C.; Decraemer, W.; Backeljau, T.",2005,"A new species of Glochinema (Epsilonematidae: Nematoda) from the oxygen minimum zone of Baja California, NE pacific and phylogenetic relationships at species level within the family",,Cah. Biol. Mar.,,,46,,105-126,
"Rayss, T. (1955). Les algues marines des cotes Palestiniennes.I. Chlorophyceae. <em>Bulletin of the Sea Fisheries Research Station of Israel.</em> 9: 1-36.","Rayss, T.",1955,Les algues marines des cotes Palestiniennes.I. Chlorophyceae.,,Bulletin of the Sea Fisheries Research Station of Israel,,,9,,1-36,
"Clark, A. H. (1954). Records of Indo-Pacific Echinoderms. <em>Pacific Science.</em> 3: 243-263.","Clark, A.H.",1954,Records of Indo-Pacific Echinoderms,,Pacific Science,,,3,,243-263,
